filename,label,category
9gJ4NQYcakk_000030.mp4,"male speech, man speaking",speech
4RhARbjonAQ_000000.mp4,dog barking,others
wrznjkSXW5A_000010.mp4,playing piano,music
t2ipSuKV7bI_000030.mp4,playing accordion,music
4c-iJIACk1I_000030.mp4,"male speech, man speaking",speech
DFr2SRfKRBc_000030.mp4,"male speech, man speaking",speech
7oHHCFuGm4E_000030.mp4,"male speech, man speaking",speech
BfTI5FrSh-g_000030.mp4,"female speech, woman speaking",speech
rP11v3K4qxs_000440.mp4,"child speech, kid speaking",speech
veFw80xXaSA_000050.mp4,"female speech, woman speaking",speech
M3x6OqmsJrI_000499.mp4,playing accordion,music
9CmEsDtIz_Q_000060.mp4,playing accordion,music
vbo4BrVQn-c_000000.mp4,playing piano,music
q7XST7tHX6I_000570.mp4,playing accordion,music
NIbvXr81s9c_000000.mp4,thunder,others
-4XHW-rTETw_000029.mp4,playing accordion,music
BNjrwopS5F4_000030.mp4,"male speech, man speaking",speech
0NdIc2geEW0_000030.mp4,"female speech, woman speaking",speech
J0FVO9_oF30_000050.mp4,playing piano,music
11k9cuOKQp4_000060.mp4,playing accordion,music
KxLD4XTYda0_000170.mp4,playing clarinet,music
nUHSecZICwY_000030.mp4,"female speech, woman speaking",speech
Ao66xMk6lO0_000310.mp4,"female speech, woman speaking",speech
29e4tVCHuh0_000030.mp4,"male speech, man speaking",speech
TakPvQhJ6D0_000060.mp4,"male speech, man speaking",speech
qj-Gzq98myc_000000.mp4,"female speech, woman speaking",speech
K-JDsMCscDU_000156.mp4,playing accordion,music
F9Zz66rVYA8_000010.mp4,playing piano,music
u9l8fnergcM_000020.mp4,playing piano,music
4ecs1MrI6gY_000030.mp4,"male speech, man speaking",speech
ja-25df7jT4_000009.mp4,playing accordion,music
TMx4hJMQctI_000080.mp4,playing clarinet,music
seFJhtrrmfQ_000070.mp4,dog barking,others
dCVS1ni7Src_000030.mp4,"female speech, woman speaking",speech
0ihU0MXB2uQ_000030.mp4,"female speech, woman speaking",speech
YUwWWuR-sUU_000030.mp4,playing accordion,music
i5ZpKMqaweo_000460.mp4,thunder,others
HGv7Lu8IuV4_000030.mp4,playing accordion,music
YBGzXsd2qF4_000130.mp4,playing accordion,music
zhO6mAs9V0o_000020.mp4,playing piano,music
4dkU-c4g1VM_000111.mp4,dog barking,others
zpraV2gP9dc_000000.mp4,playing piano,music
NebuE99hVbY_000090.mp4,playing piano,music
4yaiOxLXB78_000180.mp4,playing piano,music
qzz8-QKwQjM_000330.mp4,playing piano,music
4QNlxvgoKoE_000040.mp4,"child speech, kid speaking",speech
yf9GfnLIvcs_000050.mp4,"child speech, kid speaking",speech
G2KruS9nW70_000030.mp4,thunder,others
fVx5NBw1diU_000090.mp4,dog barking,others
YFWoo4Mbdtk_000280.mp4,playing accordion,music
uboLnhO-wVI_000010.mp4,playing piano,music
EEuezM5QG94_000150.mp4,"male speech, man speaking",speech
KMX7zR8QI-M_000070.mp4,"female speech, woman speaking",speech
ACHkmW8NGJU_000030.mp4,"male speech, man speaking",speech
